id,category,query,expected_label,actual_label,status,elapsed_s,citation_count,has_citation,asked_clarifying_question,abstained,answer_or_plan,why_count,clarifying_question_count,assumption_count,planner_result_present,manual_correct,review_notes
M03,prereq_chain,What sequence of courses should I complete to become eligible for CS 261 starting from CS 161?,need_more_info,not_eligible,ok,3.043,1,TRUE,FALSE,FALSE,"You are not currently eligible for CS 261. To become eligible, you need to complete one course from the group CS 162, CS 162H, or CS 165 with a grade of C or better, and also one course from the group CS 225, MTH 231, or MTH 231H with a grade of C or better. Starting from CS 161, your next steps are to complete these prerequisite courses before enrolling in CS 261.",1,0,1,TRUE,1,
M04,prereq_chain,"If I completed ENGR 103, what is the next CS course I can take before aiming for CS 261?",need_more_info,answer,ok,1.041,78,TRUE,FALSE,FALSE,"Based on the courses you’ve completed, these look like the most sensible next CS courses: CS 101, CS 175, CS 391, CS 404, CS 419, CS 466, CS 504, CS 511.",78,0,71,TRUE,0,
M05,prereq_chain,I completed CS 161 and want to plan toward Data Structures. What do I still need?,need_more_info,answer,ok,0.981,77,TRUE,FALSE,FALSE,"Based on the courses you’ve completed, these look like the most sensible next CS courses: CS 175, CS 199, CS 299, CS 391, CS 391H, CS 404, CS 419, CS 101.",77,0,70,TRUE,1,
G01,program_requirement,What are the required lower-division CS courses for the major?,need_more_info,clarify,ok,0.843,0,FALSE,TRUE,FALSE,I need more information before I can suggest next courses.,0,2,1,FALSE,0,
G02,program_requirement,How many elective credits are required in the program?,need_more_info,clarify,ok,0.819,0,FALSE,TRUE,FALSE,I need more information before I can suggest next courses.,0,2,1,FALSE,0,
G03,program_requirement,Does the program require a minimum number of upper-division credits?,need_more_info,clarify,ok,0.779,0,FALSE,TRUE,FALSE,I need more information before I can suggest next courses.,0,2,1,FALSE,1,
G04,program_requirement,Which categories of required courses are listed for the CS degree?,need_more_info,clarify,ok,0.819,0,FALSE,TRUE,FALSE,I need more information before I can suggest next courses.,0,2,1,FALSE,1,
G05,program_requirement,"Based on my completed courses CS 161 and CS 162, which major requirements have I already satisfied?",need_more_info,answer,ok,1.153,76,TRUE,FALSE,FALSE,"Based on the courses you’ve completed, these look like the most sensible next CS courses: CS 175, CS 199, CS 299, CS 391, CS 391H, CS 404, CS 419, CS 101.",76,0,69,TRUE,1,
N01,not_in_docs,Is CS 261 offered in Fall 2026?,abstain,clarify,ok,0.96,0,FALSE,TRUE,FALSE,I need more information before I can check eligibility.,0,1,0,FALSE,1,
N02,not_in_docs,Who teaches CS 162 this semester?,abstain,clarify,ok,0.904,0,FALSE,TRUE,FALSE,I need more information before I can suggest next courses.,0,2,1,FALSE,1,
N03,not_in_docs,Will the instructor waive the prerequisite for CS 261?,abstain,clarify,ok,0.956,0,FALSE,TRUE,FALSE,I need more information before I can check eligibility.,0,1,0,FALSE,1,
N04,not_in_docs,How many seats are left in CS 162 right now?,abstain,clarify,ok,0.791,0,FALSE,TRUE,FALSE,I need more information before I can check eligibility.,0,1,0,FALSE,1,
N05,not_in_docs,Which professor is the easiest for CS 261?,abstain,clarify,ok,0.898,0,FALSE,TRUE,FALSE,I need more information before I can suggest next courses.,0,2,1,FALSE,1,
